,Unnamed: 0,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1,label2
2489,2489,B01JONKI9Q,Clare Therieau,3.0,You only get 6??,2022-07-21,"Ok really, how stingy can u be, what do I give him 1 a week, there are only 6 in package.",positive,Negative,Value for Money
2506,2506,B01JONKI9Q,Amazon Customer,1.0,Not Sourced in US,2021-11-06,My dogs like this product BUT it’s made with globally sourced products (likely China). I will not buy again. It’s deceiving with the US flag in the upper right corner. You have to read the fine print,positive,Negative,Value for Money
2527,2527,B01JONKI9Q,Katie Clarke,4.0,Dog likes them,2022-06-26,My dog liked them but prefers dentasticks.,positive,Negative,Palatability
2542,2542,B08S6MQZVV,Lizzie,3.0,Not that soft,2022-11-15,My senior dog has missing teeth. I need to cut these into smaller chunks to use them so she can swallow them (whole!) She’s fine chewing on softer things but not these.,positive,Negative,Health Issues
2550,2550,B08S6MQZVV,RP,3.0,This time 1/4 of bag crumbled....could not use.,2022-08-20,My dog loves these but they are too expensive to waste 1/4 of the bag due to treats crumbling...will have to find a store I can purchase them at...not taking a chance.  Return window expired.,negative,Negative,Value for Money
2556,2556,B08S6MQZVV,Chris.Snider,1.0,These are not soft treats.,2023-01-04,Looking for a soft treat for my elderly Chihuahua. These are not soft at all.,positive,Negative,Product Quality Issue
2557,2557,B08S6MQZVV,Steven C. Tyler,1.0,No good,2022-11-15,All 3 dogs hated them,negative,Negative,Palatability
2558,2558,B08S6MQZVV,kat,1.0,My dogs hates them,2022-11-16,Stale product,negative,Negative,Product Quality Issue
2577,2577,B01JONK8VO,Sandy McKeehan,3.0,Treats,2022-12-02,"I usually buy these and they are really fresh, but the last 3 times they are hard as rocks. Looking for a new treat for my dog.",negative,Negative,Product Quality Issue
2586,2586,B01JONK8VO,John Moore,5.0,Joint bones,2022-04-20,getting to expensive. been ordering this for years but might have to find an alternvative.,negative,Negative,Value for Money
2607,2607,B01JONK8VO,Amber R.,1.0,Hard as a Rock,2023-08-20,"The first package I purchased they were good. So I ordered two more. The second purchase, both packages were hard as a rock. Plus, they're a long star shape. So the points were sharp. Definitely not safe for my dogs to eat. Will not be buying again.",positive,Negative,Product Quality Issue
2610,2610,B01JONK8VO,Brea,3.0,Good- but made husky sick! :(,2020-02-28,"One of my dogs LOVED these treats, the other got really sick from them. He doesn’t have a sensitive stomach so I’m not sure what it was but he threw up and had an accident almost simultaneously 20 minutes after eating. After the one got sick, we just tossed them because I didn’t want that to happen again or to my other dog.",negative,Negative,Health Issues
